"סִינוֹפְּסִיס"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A1%D6%B4%D7%99%D7%A0%D7%95%D6%B9%D7%A4%D6%BC%D6%B0%D7%A1%D6%B4%D7%99%D7%A1-n>		<http://wordnet-rdf.princeton.edu/wn30/06468951-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%A4%A7%E6%A6%82-n>		"大概"@qcn	
"הֶחְלִיף"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B6%D7%97%D6%B0%D7%9C%D6%B4%D7%99%D7%A3-v>		<http://wordnet-rdf.princeton.edu/wn30/02257370-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%AA%BF-v>		"調"@qcn	
"הֶחְלִיף"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B6%D7%97%D6%B0%D7%9C%D6%B4%D7%99%D7%A3-v>		<http://wordnet-rdf.princeton.edu/wn30/00550117-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%BD%89-v>		"轉"@qcn	
"הֶחְלִיף"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B6%D7%97%D6%B0%D7%9C%D6%B4%D7%99%D7%A3-v>		<http://wordnet-rdf.princeton.edu/wn30/00550117-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%BD%89%E6%88%90-v>		"轉成"@qcn	
"שְׁכוּנָה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A9%D7%81%D6%B0%D7%9B%D7%95%D6%BC%D7%A0%D6%B8%D7%94-n>		<http://wordnet-rdf.princeton.edu/wn30/08225090-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%9A%94%E5%A3%81-n>		"隔壁"@qcn	
"שְׁכוּנָה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A9%D7%81%D6%B0%D7%9B%D7%95%D6%BC%D7%A0%D6%B8%D7%94-n>		<http://wordnet-rdf.princeton.edu/wn30/08225090-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%84%B0-n>		"鄰"@qcn	
"נָפַח"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A0%D6%B8%D7%A4%D6%B7%D7%97-v>		<http://wordnet-rdf.princeton.edu/wn30/00004227-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%90%90%E5%87%BA%E4%BE%86-v>		"吐出來"@qcn	
"נָפַח"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A0%D6%B8%D7%A4%D6%B7%D7%97-v>		<http://wordnet-rdf.princeton.edu/wn30/00004227-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%90%90-v>		"吐"@qcn	
"נָפַח"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A0%D6%B8%D7%A4%D6%B7%D7%97-v>		<http://wordnet-rdf.princeton.edu/wn30/00004227-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%99%B4-v>		"噴"@qcn	
"נָפַח"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A0%D6%B8%D7%A4%D6%B7%D7%97-v>		<http://wordnet-rdf.princeton.edu/wn30/00004227-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%89%93-v>		"打"@qcn	
"נָפַח"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A0%D6%B8%D7%A4%D6%B7%D7%97-v>		<http://wordnet-rdf.princeton.edu/wn30/00004227-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%90%90%E5%87%BA-v>		"吐出"@qcn	
"מָתוּן"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%9E%D6%B8%D7%AA%D7%95%D6%BC%D7%9F-a>		<http://wordnet-rdf.princeton.edu/wn30/01531375-a>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%B8%AD%E9%9A%8E-a>		"中階"@qcn	
"מָתוּן"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%9E%D6%B8%D7%AA%D7%95%D6%BC%D7%9F-a>		<http://wordnet-rdf.princeton.edu/wn30/01531375-a>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%B8%AD-a>		"中"@qcn	
"מְמֻקָּם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%9E%D6%B0%D7%9E%D6%BB%D7%A7%D6%BC%D6%B8%D7%9D-a>		<http://wordnet-rdf.princeton.edu/wn30/02126430-a>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%AB%8B-a>		"立"@qcn	
"מְמֻקָּם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%9E%D6%B0%D7%9E%D6%BB%D7%A7%D6%BC%D6%B8%D7%9D-a>		<http://wordnet-rdf.princeton.edu/wn30/02126430-a>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%B1%85-a>		"居"@qcn	
"!סְכוּם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%A1%D6%B0%D7%9B%D7%95%D6%BC%D7%9D-n>		<http://wordnet-rdf.princeton.edu/wn30/04353803-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%B8%BD%E8%A8%88-n>		"總計"@qcn	
"יַחַס"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B7%D7%97%D6%B7%D7%A1-n>		<http://wordnet-rdf.princeton.edu/wn30/13819207-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%AF%94-n>		"比"@qcn	
"יַחַס"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B7%D7%97%D6%B7%D7%A1-n>		<http://wordnet-rdf.princeton.edu/wn30/13819207-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%B0%8D%E6%AF%94-n>		"對比"@qcn	
"יַחַס"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B7%D7%97%D6%B7%D7%A1-n>		<http://wordnet-rdf.princeton.edu/wn30/13819207-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%8E%87-n>		"率"@qcn	
"שָׁד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A9%D7%81%D6%B8%D7%93-n>		<http://wordnet-rdf.princeton.edu/wn30/05554405-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%B9%B3-n>		"乳"@qcn	
"שָׁד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A9%D7%81%D6%B8%D7%93-n>		<http://wordnet-rdf.princeton.edu/wn30/05554405-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%90%83-n>		"球"@qcn	
"פָּרַס"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A4%D6%BC%D6%B8%D7%A8%D6%B7%D7%A1-v>		<http://wordnet-rdf.princeton.edu/wn30/01254477-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%89%87-v>		"片"@qcn	
"קָשֶׁה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B8%D7%A9%D7%81%D6%B6%D7%94-a>		<http://wordnet-rdf.princeton.edu/wn30/00744916-a>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%B8%8D%E4%BE%BF-a>		"不便"@qcn	
"יָשַׁב"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B8%D7%A9%D7%81%D6%B7%D7%91-v>		<http://wordnet-rdf.princeton.edu/wn30/02649830-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%AF%93-v>		"寓"@qcn	
"יָשַׁב"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B8%D7%A9%D7%81%D6%B7%D7%91-v>		<http://wordnet-rdf.princeton.edu/wn30/02649830-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%BD%8F-v>		"住"@qcn	
"יָשַׁב"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B8%D7%A9%D7%81%D6%B7%D7%91-v>		<http://wordnet-rdf.princeton.edu/wn30/02649830-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%B1%85-v>		"居"@qcn	
"!רָאשִׁי"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%A8%D6%B8%D7%90%D7%A9%D7%81%D6%B4%D7%99-a>		<http://wordnet-rdf.princeton.edu/wn30/01277426-a>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%AD%A3-a>		"正"@qcn	
"!רָאשִׁי"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%A8%D6%B8%D7%90%D7%A9%D7%81%D6%B4%D7%99-a>		<http://wordnet-rdf.princeton.edu/wn30/01277426-a>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%AE%8F-a>		"宏"@qcn	
"!רָאשִׁי"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%A8%D6%B8%D7%90%D7%A9%D7%81%D6%B4%D7%99-a>		<http://wordnet-rdf.princeton.edu/wn30/01277426-a>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%B8%BB%E8%A6%81-a>		"主要"@qcn	
"עוֹר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A2%D7%95%D6%B9%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/14759722-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%9A%AE-n>		"皮"@qcn	
"שַׁעֲרוּרִיָּה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A9%D7%81%D6%B7%D7%A2%D6%B2%D7%A8%D7%95%D6%BC%D7%A8%D6%B4%D7%99%D6%BC%D6%B8%D7%94-n>		<http://wordnet-rdf.princeton.edu/wn30/07306252-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%86%9C-n>		"醜"@qcn	
"שַׁעֲרוּרִיָּה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A9%D7%81%D6%B7%D7%A2%D6%B2%D7%A8%D7%95%D6%BC%D7%A8%D6%B4%D7%99%D6%BC%D6%B8%D7%94-n>		<http://wordnet-rdf.princeton.edu/wn30/07306252-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%B3%97-n>		"糗"@qcn	
"!הִזְדַּמְּנוּת"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%94%D6%B4%D7%96%D6%B0%D7%93%D6%BC%D6%B7%D7%9E%D6%BC%D6%B0%D7%A0%D7%95%D6%BC%D7%AA-n>		<http://wordnet-rdf.princeton.edu/wn30/14483917-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%99%82-n>		"時"@qcn	
"!הִזְדַּמְּנוּת"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%94%D6%B4%D7%96%D6%B0%D7%93%D6%BC%D6%B7%D7%9E%D6%BC%D6%B0%D7%A0%D7%95%D6%BC%D7%AA-n>		<http://wordnet-rdf.princeton.edu/wn30/14483917-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%9A%99-n>		"隙"@qcn	
"!הִזְדַּמְּנוּת"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%94%D6%B4%D7%96%D6%B0%D7%93%D6%BC%D6%B7%D7%9E%D6%BC%D6%B0%D7%A0%D7%95%D6%BC%D7%AA-n>		<http://wordnet-rdf.princeton.edu/wn30/14483917-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%BD%89%E6%A9%9F-n>		"轉機"@qcn	
"!הִזְדַּמְּנוּת"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%94%D6%B4%D7%96%D6%B0%D7%93%D6%BC%D6%B7%D7%9E%D6%BC%D6%B0%D7%A0%D7%95%D6%BC%D7%AA-n>		<http://wordnet-rdf.princeton.edu/wn30/14483917-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%A9%9F%E6%9C%83-n>		"機會"@qcn	
"הַלְוָיָה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B7%D7%9C%D6%B0%D7%95%D6%B8%D7%99%D6%B8%D7%94-n>		<http://wordnet-rdf.princeton.edu/wn30/07451463-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%99%BD-n>		"白"@qcn	
"יָגַע"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B8%D7%92%D6%B7%D7%A2-v>		<http://wordnet-rdf.princeton.edu/wn30/02419773-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%8B%9E-v>		"勞"@qcn	
"יָגַע"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B8%D7%92%D6%B7%D7%A2-v>		<http://wordnet-rdf.princeton.edu/wn30/02419773-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%A3%A8-v>		"磨"@qcn	
"נֶעֱמַד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A0%D6%B6%D7%A2%D6%B1%D7%9E%D6%B7%D7%93-v>		<http://wordnet-rdf.princeton.edu/wn30/01860795-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%A9%BA-v>		"空"@qcn	
"נֶעֱמַד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A0%D6%B6%D7%A2%D6%B1%D7%9E%D6%B7%D7%93-v>		<http://wordnet-rdf.princeton.edu/wn30/01860795-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%B1%85-v>		"居"@qcn	
"נֶעֱמַד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A0%D6%B6%D7%A2%D6%B1%D7%9E%D6%B7%D7%93-v>		<http://wordnet-rdf.princeton.edu/wn30/01860795-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%AD%A2-v>		"止"@qcn	
"קִצּוּר-דֶּרֶךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B4%D7%A6%D6%BC%D7%95%D6%BC%D7%A8-%D7%93%D6%BC%D6%B6%D7%A8%D6%B6%D7%9A%D6%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/04204953-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%8D%B7%E5%BE%91-n>		"捷徑"@qcn	
"קִצּוּר-דֶּרֶךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B4%D7%A6%D6%BC%D7%95%D6%BC%D7%A8-%D7%93%D6%BC%D6%B6%D7%A8%D6%B6%D7%9A%D6%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/04204953-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%BF%91%E8%B7%AF-n>		"近路"@qcn	
"קָצֶה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B8%D7%A6%D6%B6%D7%94-n>		<http://wordnet-rdf.princeton.edu/wn30/08565701-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%82%8A-n>		"邊"@qcn	
"קָצֶה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B8%D7%A6%D6%B6%D7%94-n>		<http://wordnet-rdf.princeton.edu/wn30/08565701-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%91%A8%E5%9C%8D-n>		"周圍"@qcn	
"מְפֻלְפָּל"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%9E%D6%B0%D7%A4%D6%BB%D7%9C%D6%B0%D7%A4%D6%BC%D6%B8%D7%9C-a>		<http://wordnet-rdf.princeton.edu/wn30/01268194-a>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%BF%8A-a>		"俊"@qcn	
"צָד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A6%D6%B8%D7%93-v>		<http://wordnet-rdf.princeton.edu/wn30/01143838-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%89%93-v>		"打"@qcn	
"נָתַן-לוֹ-עַל-הָרֹאשׁ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A0%D6%B8%D7%AA%D6%B7%D7%9F-%D7%9C%D7%95%D6%B9-%D7%A2%D6%B7%D7%9C-%D7%94%D6%B8%D7%A8%D6%B9%D7%90%D7%A9%D7%81-v>		<http://wordnet-rdf.princeton.edu/wn30/00824767-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%A8%93%E8%A9%B1-v>		"訓話"@qcn	
"הָפַךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B8%D7%A4%D6%B7%D7%9A%D6%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02626604-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%94%9A%E7%82%BA-v>		"蔚為"@qcn	
"הָפַךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B8%D7%A4%D6%B7%D7%9A%D6%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02626604-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%94%B9%E7%82%BA-v>		"改為"@qcn	
"הָפַךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B8%D7%A4%D6%B7%D7%9A%D6%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02626604-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%BD%89-v>		"轉"@qcn	
"הָפַךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B8%D7%A4%D6%B7%D7%9A%D6%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02626604-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%BD%89%E8%AE%8A%E6%88%90-v>		"轉變成"@qcn	
"הָפַךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B8%D7%A4%D6%B7%D7%9A%D6%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02626604-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%88%90-v>		"成"@qcn	
"הָפַךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B8%D7%A4%D6%B7%D7%9A%D6%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02626604-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%B5%81%E6%96%BC-v>		"流於"@qcn	
"הָפַךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B8%D7%A4%D6%B7%D7%9A%D6%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02626604-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%88%90%E7%82%BA-v>		"成為"@qcn	
"הָפַךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B8%D7%A4%D6%B7%D7%9A%D6%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02626604-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%8C%96-v>		"化"@qcn	
"הָפַךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B8%D7%A4%D6%B7%D7%9A%D6%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02626604-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%B5%B0-v>		"走"@qcn	
"הָפַךְ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B8%D7%A4%D6%B7%D7%9A%D6%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02626604-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%BD%89%E8%AE%8A%E7%82%BA-v>		"轉變為"@qcn	
"אוֹצָר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%90%D7%95%D6%B9%D7%A6%D6%B8%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/13370448-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%8F%8D-n>		"珍"@qcn	
"גָּרַם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%92%D6%BC%D6%B8%D7%A8%D6%B7%D7%9D-v>		<http://wordnet-rdf.princeton.edu/wn30/01645601-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%87%B4%E4%BD%BF-v>		"致使"@qcn	
"גָּרַם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%92%D6%BC%D6%B8%D7%A8%D6%B7%D7%9D-v>		<http://wordnet-rdf.princeton.edu/wn30/01645601-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%82%87%E8%87%B4-v>		"肇致"@qcn	
"גָּרַם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%92%D6%BC%D6%B8%D7%A8%D6%B7%D7%9D-v>		<http://wordnet-rdf.princeton.edu/wn30/01645601-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%80%A0%E6%88%90-v>		"造成"@qcn	
"גָּרַם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%92%D6%BC%D6%B8%D7%A8%D6%B7%D7%9D-v>		<http://wordnet-rdf.princeton.edu/wn30/01645601-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%AA%98-v>		"誘"@qcn	
"גָּרַם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%92%D6%BC%D6%B8%D7%A8%D6%B7%D7%9D-v>		<http://wordnet-rdf.princeton.edu/wn30/01645601-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%B0%8E%E8%87%B4-v>		"導致"@qcn	
"גָּרַם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%92%D6%BC%D6%B8%D7%A8%D6%B7%D7%9D-v>		<http://wordnet-rdf.princeton.edu/wn30/01645601-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%BD%BF%E5%BE%97-v>		"使得"@qcn	
