"upplag"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/upplag-n>		<http://wordnet-rdf.princeton.edu/wn30/04726724-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/natyr%C3%AB-n>		"natyrë"@als	
"afráð"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/afr%C3%A1%C3%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/13308999-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/taks-n>		"taks"@als	
"afráð"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/afr%C3%A1%C3%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/13308999-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shum%C3%AB%20takse-n>		"shumë takse"@als	
"viðkoma"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/vi%C3%B0koma-n>		<http://wordnet-rdf.princeton.edu/wn30/00039297-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/prekje-n>		"prekje"@als	
"viðkoma"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/vi%C3%B0koma-n>		<http://wordnet-rdf.princeton.edu/wn30/00039297-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/lidhje-n>		"lidhje"@als	
"viðkoma"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/vi%C3%B0koma-n>		<http://wordnet-rdf.princeton.edu/wn30/00039297-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/takim-n>		"takim"@als	
"viðkoma"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/vi%C3%B0koma-n>		<http://wordnet-rdf.princeton.edu/wn30/00039297-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kontakt-n>		"kontakt"@als	
"rolla"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/rolla-n>		<http://wordnet-rdf.princeton.edu/wn30/02411705-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/dhen-n>		"dhen"@als	
"sneypa"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/sneypa-n>		<http://wordnet-rdf.princeton.edu/wn30/07506569-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/turp-n>		"turp"@als	
"gera óskýranlegan"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/gera%20%C3%B3sk%C3%BDranlegan-v>		<http://wordnet-rdf.princeton.edu/wn30/02157731-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/mjegullir%C3%AB-v>		"mjegullirë"@als	
"gera óskýranlegan"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/gera%20%C3%B3sk%C3%BDranlegan-v>		<http://wordnet-rdf.princeton.edu/wn30/02157731-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/turbullir%C3%AB-v>		"turbullirë"@als	
"gera óskýranlegan"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/gera%20%C3%B3sk%C3%BDranlegan-v>		<http://wordnet-rdf.princeton.edu/wn30/02157731-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/mbulim-v>		"mbulim"@als	
"gera óskýranlegan"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/gera%20%C3%B3sk%C3%BDranlegan-v>		<http://wordnet-rdf.princeton.edu/wn30/02157731-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/mbuluar%20me%20mjegull-v>		"mbuluar me mjegull"@als	
"klettaveggur"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/klettaveggur-n>		<http://wordnet-rdf.princeton.edu/wn30/09246464-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shkrep-n>		"shkrep"@als	
"hnatthvel"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/hnatthvel-n>		<http://wordnet-rdf.princeton.edu/wn30/08583095-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/hemisfer%C3%AB-n>		"hemisferë"@als	
"bak"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/bak-n>		<http://wordnet-rdf.princeton.edu/wn30/04059701-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/prapa-n>		"prapa"@als	
"bak"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/bak-n>		<http://wordnet-rdf.princeton.edu/wn30/04059701-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/pas-n>		"pas"@als	
"skiki"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/skiki-n>		<http://wordnet-rdf.princeton.edu/wn30/08674739-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/truall-n>		"truall"@als	
"skiki"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/skiki-n>		<http://wordnet-rdf.princeton.edu/wn30/08674739-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/ngast%C3%ABr-n>		"ngastër"@als	
"skiki"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/skiki-n>		<http://wordnet-rdf.princeton.edu/wn30/08674739-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/cop%C3%AB%20toke-n>		"copë toke"@als	
"varyrð"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/varyr%C3%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/05708432-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/perceptim-n>		"perceptim"@als	
"fægja"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/f%C3%A6gja-v>		<http://wordnet-rdf.princeton.edu/wn30/00474017-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/b%C3%ABj%20rregullim%20t%C3%AB%20im%C3%ABt-v>		"bëj rregullim të imët"@als	
"fægja"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/f%C3%A6gja-v>		<http://wordnet-rdf.princeton.edu/wn30/00474017-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/p%C3%ABrpunoj-v>		"përpunoj"@als	
"blaður"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/bla%C3%B0ur-n>		<http://wordnet-rdf.princeton.edu/wn30/07223170-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/llafe-n>		"llafe"@als	
"blaður"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/bla%C3%B0ur-n>		<http://wordnet-rdf.princeton.edu/wn30/07223170-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/thashetheme-n>		"thashetheme"@als	
"blaður"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/bla%C3%B0ur-n>		<http://wordnet-rdf.princeton.edu/wn30/07223170-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/koment-n>		"koment"@als	
"heit"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/heit-n>		<http://wordnet-rdf.princeton.edu/wn30/07226545-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/premtim-n>		"premtim"@als	
"hafa sig á burt"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/hafa%20sig%20%C3%A1%20burt-v>		<http://wordnet-rdf.princeton.edu/wn30/02015598-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/largohem-v>		"largohem"@als	
"hafa sig á burt"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/hafa%20sig%20%C3%A1%20burt-v>		<http://wordnet-rdf.princeton.edu/wn30/02015598-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/dalje-v>		"dalje"@als	
"hafa sig á burt"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/hafa%20sig%20%C3%A1%20burt-v>		<http://wordnet-rdf.princeton.edu/wn30/02015598-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/ikje-v>		"ikje"@als	
"hafa sig á burt"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/hafa%20sig%20%C3%A1%20burt-v>		<http://wordnet-rdf.princeton.edu/wn30/02015598-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/nxjerr-v>		"nxjerr"@als	
"temprun"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/temprun-n>		<http://wordnet-rdf.princeton.edu/wn30/08592656-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/vije%20kufiri-n>		"vije kufiri"@als	
"temprun"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/temprun-n>		<http://wordnet-rdf.princeton.edu/wn30/08592656-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kufi-n>		"kufi"@als	
"temprun"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/temprun-n>		<http://wordnet-rdf.princeton.edu/wn30/08592656-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/cak-n>		"cak"@als	
"framtak"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/framtak-n>		<http://wordnet-rdf.princeton.edu/wn30/01106808-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/operacion%20finaciar-n>		"operacion finaciar"@als	
"framtak"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/framtak-n>		<http://wordnet-rdf.princeton.edu/wn30/01106808-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/sasi-n>		"sasi"@als	
"umsvifamaður"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/umsvifama%C3%B0ur-n>		<http://wordnet-rdf.princeton.edu/wn30/09882007-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/burr%C3%AB%20afaresh-n>		"burrë afaresh"@als	
"umsvifamaður"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/umsvifama%C3%B0ur-n>		<http://wordnet-rdf.princeton.edu/wn30/09882007-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/biznesmen-n>		"biznesmen"@als	
"ástsemd"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/%C3%A1stsemd-n>		<http://wordnet-rdf.princeton.edu/wn30/13931145-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/marr%C3%ABdh%C3%ABnie%20miq%C3%ABsie-n>		"marrëdhënie miqësie"@als	
"ástsemd"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/%C3%A1stsemd-n>		<http://wordnet-rdf.princeton.edu/wn30/13931145-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/miq%C3%ABsi-n>		"miqësi"@als	
"skylda"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/skylda-v>		<http://wordnet-rdf.princeton.edu/wn30/01871979-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/detyroj-v>		"detyroj"@als	
"skylda"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/skylda-v>		<http://wordnet-rdf.princeton.edu/wn30/01871979-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shtytje-v>		"shtytje"@als	
"varfærni"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/varf%C3%A6rni-n>		<http://wordnet-rdf.princeton.edu/wn30/04652438-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/rezerv%C3%AB-n>		"rezervë"@als	
"varfærni"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/varf%C3%A6rni-n>		<http://wordnet-rdf.princeton.edu/wn30/04652438-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/heshtje-n>		"heshtje"@als	
"varfærni"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/varf%C3%A6rni-n>		<http://wordnet-rdf.princeton.edu/wn30/04652438-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/natyr%C3%AB%20e%20heshtur-n>		"natyrë e heshtur"@als	
"taka af skarið"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/taka%20af%20skari%C3%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/00764032-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/stabilizoj-v>		"stabilizoj"@als	
"taka af skarið"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/taka%20af%20skari%C3%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/00764032-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/v%C3%AB%20n%C3%AB%20vij%C3%AB-v>		"vë në vijë"@als	
"taka af skarið"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/taka%20af%20skari%C3%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/00764032-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/qet%C3%ABsoj-v>		"qetësoj"@als	
"járnbrautarvagn"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/j%C3%A1rnbrautarvagn-n>		<http://wordnet-rdf.princeton.edu/wn30/02959942-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/vagon-n>		"vagon"@als	
"járnbrautarvagn"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/j%C3%A1rnbrautarvagn-n>		<http://wordnet-rdf.princeton.edu/wn30/02959942-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/vagon%20treni-n>		"vagon treni"@als	
"járnbrautarvagn"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/j%C3%A1rnbrautarvagn-n>		<http://wordnet-rdf.princeton.edu/wn30/02959942-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/vagon%20tramvaji-n>		"vagon tramvaji"@als	
"hvolfa"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/hvolfa-v>		<http://wordnet-rdf.princeton.edu/wn30/01909978-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/q%C3%AB%20p%C3%ABrmbyset-v>		"që përmbyset"@als	
"hvolfa"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/hvolfa-v>		<http://wordnet-rdf.princeton.edu/wn30/01909978-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/p%C3%ABrmbys-v>		"përmbys"@als	
"hvolfa"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/hvolfa-v>		<http://wordnet-rdf.princeton.edu/wn30/01909978-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/rrotullohem-v>		"rrotullohem"@als	
"kaffi"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/kaffi-n>		<http://wordnet-rdf.princeton.edu/wn30/07929519-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kafe-n>		"kafe"@als	
"tengjast"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/tengjast-v>		<http://wordnet-rdf.princeton.edu/wn30/02538086-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/ngjit-v>		"ngjit"@als	
"tengjast"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/tengjast-v>		<http://wordnet-rdf.princeton.edu/wn30/02538086-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/lidh-v>		"lidh"@als	
"tengjast"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/tengjast-v>		<http://wordnet-rdf.princeton.edu/wn30/02538086-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/lidhem-v>		"lidhem"@als	
"blý"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/bl%C3%BD-n>		<http://wordnet-rdf.princeton.edu/wn30/14643467-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/plumb-n>		"plumb"@als	
"blý"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/bl%C3%BD-n>		<http://wordnet-rdf.princeton.edu/wn30/14643467-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/Pb-n>		"Pb"@als	
"þrep"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/%C3%BErep-n>		<http://wordnet-rdf.princeton.edu/wn30/14429608-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/hap-n>		"hap"@als	
"þrep"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/%C3%BErep-n>		<http://wordnet-rdf.princeton.edu/wn30/14429608-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/ndryshim%20gradual-n>		"ndryshim gradual"@als	
"þrep"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/%C3%BErep-n>		<http://wordnet-rdf.princeton.edu/wn30/15290337-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/faz%C3%AB-n>		"fazë"@als	
"fræðikenning"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/fr%C3%A6%C3%B0ikenning-n>		<http://wordnet-rdf.princeton.edu/wn30/05888929-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/teori-n>		"teori"@als	
"fræðikenning"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/fr%C3%A6%C3%B0ikenning-n>		<http://wordnet-rdf.princeton.edu/wn30/05888929-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/hipotez%C3%AB-n>		"hipotezë"@als	
"troða"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/tro%C3%B0a-v>		<http://wordnet-rdf.princeton.edu/wn30/01235355-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/q%C3%ABndisje-v>		"qëndisje"@als	
"troða"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/tro%C3%B0a-v>		<http://wordnet-rdf.princeton.edu/wn30/01235355-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/trazoj-v>		"trazoj"@als	
"blökk"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/bl%C3%B6kk-n>		<http://wordnet-rdf.princeton.edu/wn30/08008335-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/organizat%C3%AB-n>		"organizatë"@als	
"blökk"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/bl%C3%B6kk-n>		<http://wordnet-rdf.princeton.edu/wn30/08008335-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/organizim-n>		"organizim"@als	
